fn,unit,signal,hint,pinobj,comments
hw,-,-,rt106x,seekfree_art,
led,1,-,-,AD_B0_09,
led,2,-,-,AD_B0_10,
led,3,-,-,AD_B0_11,
led,4,-,-,B0_11,
B0,1,-,-,AD_B0_00,
B1,1,-,-,AD_B0_01,
B2,1,-,-,AD_B0_02,
B3,1,-,-,AD_B0_03,
B12,1,-,-,AD_B0_12,
B13,1,-,-,AD_B0_13,
B16,1,-,-,AD_B1_00,
key,1,-,-,WAKEUP,
pin,-,C6,-,B0_06,
pin,-,C7,-,B0_07,
pin,-,C8,-,B0_08,
pin,-,C9,-,B0_09,
pin,-,B1,-,AD_B0_01,
pin,-,B2,-,AD_B0_02,
pin,-,B0,-,AD_B0_00,
pin,-,B3,-,AD_B0_03,
pin,-,B12,-,AD_B0_12,
pin,-,B13,-,AD_B0_13,
pin,-,B16,-,AD_B1_00,
adc,-,A0,1,AD_B1_00,
adc,-,A1,1,AD_B0_15,
adc,-,A2,1,AD_B1_06,
adc,-,A3,1,AD_B1_07,
adc,-,A4,1,AD_B1_11,
adc,-,A5,1,AD_B1_12,
pwm,-,CH1,f2.a0,B0_06,
pwm,-,CH2,f2.b0,B0_07,
pwm,-,CH3,f2.a1,B0_08,
pwm,-,CH4,f2.b1,B0_09,
pwm,-,CH5,f2.a2,AD_B0_12,
pwm,-,CH6,f2.b2,AD_B0_13,
uart,1,TXD,-,AD_B0_06,
uart,1,RXD,-,AD_B0_07,
uart,3,TXD,-,B0_08,
uart,3,RXD,-,B0_09,
i2c,1,SDA,-,AD_B0_13,
i2c,1,SCL,-,AD_B0_12,
spi,3,SCK,-,AD_B0_00,
spi,3,PCS0,-,AD_B0_03,
spi,3,SDO,-,AD_B0_01,
spi,3,SDI,-,AD_B0_02,
xbar,-,CN2_47,q2.2,EMC_40,
xbar,-,CN2_27,q2.3,EMC_41,
